,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User,text
0,0.6808,Sun Oct 21 18:56:02 +0000 2018,0.663,0.0,0.337,1,@BBC,😴 Five tips from our ancestors to help us sleep better.   https://t.co/mbqE98OeX0
1,0.8777,Sun Oct 21 18:33:32 +0000 2018,0.665,0.0,0.335,1,@BBC,"RT @BBCR1: Today we're celebrating the Teen Heroes that make a real difference! 👏👏

Read the inspiring stories of Siena, Lily, and Junior h…"
2,0.3595,Sun Oct 21 17:34:32 +0000 2018,0.894,0.0,0.106,1,@BBC,"Congrats to @BTS_twt who have picked up not one, but two #R1TeenAwards! 🙌

You can catch #R1TeenAwards on @BBCTwo r… https://t.co/vwfiNEth67"
3,0.9683,Sun Oct 21 17:30:43 +0000 2018,0.5,0.0,0.5,1,@BBC,"RT @BBCR1: ""This is amazing. It's so heavy!""
""Oh, it's fabulous."" 💁‍♀️

@littlemix are VERY happy with their award for Best British Group!…"
4,0.5859,Sun Oct 21 17:03:05 +0000 2018,0.678,0.0,0.322,1,@BBC,😂❤️ The cutest breach of royal protocol. #PrinceHarry https://t.co/39hXKPXdiZ
5,0.9174,Sun Oct 21 16:57:54 +0000 2018,0.63,0.0,0.37,1,@BBC,"RT @BBCR1: Oh look at that happy face! 😍
@ShawnMendes is your Best International Solo Artist! 🌍🏆

Don't miss @gregjames, @mayajama, and som…"
6,0.9157,Sun Oct 21 16:45:45 +0000 2018,0.642,0.0,0.358,1,@BBC,"RT @BBCR1: We are just so proud of @BTS_twt. 💛💞💛💞
Thanks to all your votes, they are this year's Best Social Media Stars! 🤩

Don't miss the…"
7,0.7269,Sun Oct 21 16:44:17 +0000 2018,0.757,0.0,0.243,1,@BBC,"RT @BBCNewsbeat: Here's the full list of winners at the @BBCR1 Teen Awards, including Little Mix and BTS 😍😍😍😍👏👏👏👏 #R1TeenAwards

https://t.…"
8,0.0,Sun Oct 21 16:07:04 +0000 2018,1.0,0.0,0.0,1,@BBC,The man taking on Kenya's 'water mafia' by building pipes in the sky. https://t.co/2VrqLmLENv
9,-0.5106,Sun Oct 21 15:11:02 +0000 2018,0.784,0.216,0.0,1,@BBC,"The 'ugly duckling' fossil from the deep.
👉 https://t.co/Gm1NtWfN77 https://t.co/HpegaMPUNR"
10,0.7096,Sun Oct 21 14:01:06 +0000 2018,0.543,0.0,0.457,1,@BBC,"❤️⚡ This video could help you save a life.
https://t.co/wOkfddUbqB"
11,-0.0599,Sun Oct 21 13:01:04 +0000 2018,0.666,0.173,0.161,1,@BBC,Why not mentioning death and dying can make dealing with bereavement so much worse. https://t.co/lXcnnbTTmR
12,0.0,Sun Oct 21 12:08:01 +0000 2018,1.0,0.0,0.0,1,@BBC,"Would you eat slaughter-free meat?
👉 https://t.co/xTA36EzicI https://t.co/whyieiulQ9"
13,0.3182,Sun Oct 21 11:49:27 +0000 2018,0.867,0.0,0.133,1,@BBC,"RT @BBCR1: From @LiamPayne  to @Camila_Cabello; test your fan knowledge ahead of today's #R1TeenAwards 🎉⭐️

https://t.co/XMQTiO4Xgg"
14,-0.25,Sun Oct 21 11:40:13 +0000 2018,0.929,0.071,0.0,1,@BBC,RT @BBC6Music: ✊🏾 Sunday at 1pm: Don Letts (@RebelDread) introduces a soundscape telling the story of the Black Power protest at the 1968 @…
15,-0.3182,Sun Oct 21 11:02:07 +0000 2018,0.881,0.119,0.0,1,@BBC,As much as 85% of all oyster reefs globally have been lost in the last two centuries. https://t.co/yDtS5tQhsO
16,0.6249,Sun Oct 21 10:13:04 +0000 2018,0.619,0.103,0.278,1,@BBC,"Shards of ice on a bitterly cold February morning in Glencoe has scooped the top prize in the 2018 #LPOTY awards.
👉… https://t.co/Gb6cgNz54c"
17,-0.7506,Sun Oct 21 09:39:11 +0000 2018,0.738,0.262,0.0,1,@BBC,RT @BBCWales: On this day in 1966: 116 children and 28 adults lost their lives in the Aberfan disaster. https://t.co/JjveTRgw2m
18,0.4939,Sun Oct 21 09:14:59 +0000 2018,0.714,0.0,0.286,1,@BBC,RT @BBCSpringwatch: Deadly predator and caring parent. #Autumnwatch https://t.co/NTkPu5rWjt
19,0.3164,Sun Oct 21 09:08:02 +0000 2018,0.814,0.0,0.186,1,@BBC,"🎨🖌👨‍🎨 An artist has created the pinkest pink ever!  
#QI https://t.co/38YhoZ5DL5"
20,0.0,Sun Oct 21 08:07:03 +0000 2018,1.0,0.0,0.0,1,@BBC,"'Shibui: an aesthetic that only time can reveal'

Seven intriguing phrases from around the world.
👉… https://t.co/L8gAp33EYa"
21,0.1567,Sun Oct 21 07:07:06 +0000 2018,0.686,0.136,0.178,1,@BBC,"This is the most soothing, weird thing you’ll see all week… https://t.co/G4hhd8Vs7m"
22,0.0,Sat Oct 20 19:36:48 +0000 2018,1.0,0.0,0.0,1,@BBC,RT @bbcstrictly: First 10 of #Strictly 2018 for Danny and Amy! https://t.co/tLFmWXFHUb
23,0.7184,Sat Oct 20 19:24:51 +0000 2018,0.605,0.077,0.319,1,@BBC,"RT @BBCOne: Leigh-Anne from @LittleMix gargles the #Strictly theme tune. Nice challenge @GregGames 😂
https://t.co/biqo7Texf1"
24,-0.4215,Sat Oct 20 19:04:05 +0000 2018,0.741,0.259,0.0,1,@BBC,"""These dairy calves are essentially a waste product."" 
#TheDarkSideOfDairy  https://t.co/zj42uT0f3Y"
25,0.3612,Sat Oct 20 18:04:03 +0000 2018,0.857,0.0,0.143,1,@BBC,"Angel tells her whole school what it's like to live with a sibling with Autism. 
#AutismAwareness https://t.co/RVgSJwUFO8"
26,0.6124,Sat Oct 20 17:09:02 +0000 2018,0.645,0.07,0.285,1,@BBC,"An accidental discovery is giving new hope for coral reefs

#OurBluePlanet w/ @oceanx + @motemarinelab https://t.co/AJmXW8Oavi"
27,-0.1531,Sat Oct 20 16:08:01 +0000 2018,0.897,0.103,0.0,1,@BBC,"Next time the other half moans about going shopping, you know where to put them…https://t.co/OViTye2x8R"
28,0.0,Sat Oct 20 14:53:05 +0000 2018,1.0,0.0,0.0,1,@BBC,"🍏🥧 From simple muffins to showstopping strudels, try out these recipes for autumnal treats.
👉… https://t.co/EEEeoDyQYf"
29,0.0,Sat Oct 20 14:27:56 +0000 2018,1.0,0.0,0.0,1,@BBC,"RT @BBCTwo: Earl Cameron is over 100 years old, and was the first ever black actor to star in a British film.

#BlackHollywood: They've Got…"
30,-0.5106,Sat Oct 20 14:14:00 +0000 2018,0.574,0.292,0.134,1,@BBC,"This family lost £90,000 to an investment opportunity now being investigated for fraud.
#RipOffBritain https://t.co/FcclaMwEzs"
31,0.6486,Sat Oct 20 12:39:06 +0000 2018,0.782,0.0,0.218,1,@BBC,❤️ A father has used Birmingham city centre billboards to thank the hospital staff who cared for his daughter befor… https://t.co/GqCKWMeGMj
